,date,event,myScore,opponent,place,player,result,theirScore,winnings
233,2013-11-24,Red Bull Battle Grounds New York City,4.0,sOs,1st,PartinG,1.0,1.0,20000.0
234,2013-01-20,IEM Season VII - Katowice,1.0,Dream,3 - 4th,PartinG,0.0,3.0,1700.0
235,2012-12-22,2012 GSL Blizzard Cup,2.0,Life,2nd,PartinG,0.0,4.0,9307.0
236,2012-12-02,World Cyber Games 2012,2.0,Adelscott,1st,PartinG,1.0,0.0,25000.0
237,2012-11-18,2012 Battle.net World Championship,4.0,Creator,1st,PartinG,1.0,2.0,100000.0
238,2012-10-14,2012 StarCraft II WCS: Asian Finals,0.0,Rain,2nd,PartinG,0.0,2.0,9000.0
239,2012-08-25,2012 StarCraft II WCS: South Korea Finals,1.0,Creator,3rd,PartinG,0.0,2.0,1580.0
240,2012-05-10,2012 Global StarCraft II League Season 2: Code S,1.0,Mvp,3 - 4th,PartinG,0.0,3.0,4277.0
241,2018-11-03,2018 WCS Global Finals,4.0,Stats,1st,Serral,1.0,2.0,280000.0
242,2018-09-09,2018 WCS Montreal,4.0,Reynor,1st,Serral,1.0,3.0,20000.0
243,2018-08-05,2018 GSL vs the World,4.0,Stats,1st,Serral,1.0,3.0,26901.0
244,2018-07-14,2018 WCS Valencia,4.0,Has,1st,Serral,1.0,1.0,20000.0
245,2018-06-03,2018 WCS Austin,4.0,MaNa,1st,Serral,1.0,2.0,20000.0
246,2018-03-17,World Electronic Sports Games 2017,3.0,Classic,3rd,Serral,1.0,1.0,40000.0
247,2018-03-04,IEM Season XII - World Championship,0.0,Classic,3 - 4th,Serral,0.0,3.0,26000.0
248,2018-01-28,2018 WCS Leipzig,4.0,ShoWTimE,1st,Serral,1.0,2.0,20000.0
249,2017-06-19,2017 WCS Jönköping,3.0,Neeb,2nd,Serral,0.0,4.0,10000.0
250,2018-11-03,2018 WCS Global Finals,0.0,Stats,3 - 4th,sOs,0.0,3.0,56000.0
251,2018-09-30,2018 AfreecaTV GSL Super Tournament 2,3.0,Classic,2nd,sOs,0.0,4.0,4443.0
252,2018-02-07,IEM Season XII - PyeongChang,1.0,Scarlett,2nd,sOs,0.0,4.0,25000.0
253,2017-09-16,2017 Global StarCraft II League Season 3: Code S,3.0,INnoVation,2nd,sOs,0.0,4.0,13371.0
254,2017-03-15,2017 Global StarCraft II League Season 1/Code S,2.0,soO,3 - 4th,sOs,0.0,4.0,6720.0
255,2016-09-25,2016 WCS Korea Season 2 Cross Finals,1.0,Solar,3 - 4th,sOs,0.0,3.0,0.0
256,2016-09-10,2016 Global StarCraft II League Season 2/Code S,1.0,ByuN,2nd,sOs,0.0,4.0,18094.0
257,2015-11-07,2015 WCS Global Finals,4.0,Life,1st,sOs,1.0,3.0,100000.0
258,2015-09-25,2015 DreamHack Open: Stockholm,2.0,Solar,3 - 4th,sOs,0.0,3.0,3000.0
259,2015-08-31,MSI Masters Gaming Arena 2015,3.0,Solar,1st,sOs,1.0,0.0,10000.0
260,2015-06-17,2015 Global StarCraft II League Season 2/Code S,2.0,ByuL,3 - 4th,sOs,0.0,4.0,3610.0
261,2014-12-07,2014 Hot6ix Cup,4.0,MarineKing,1st,sOs,1.0,1.0,18188.0
262,2014-03-16,IEM Season VIII - World Championship,4.0,herO,1st,sOs,1.0,1.0,100000.0
263,2013-11-24,Red Bull Battle Grounds New York City,1.0,PartinG,2nd,sOs,0.0,4.0,10000.0
264,2013-11-09,2013 WCS Global Finals,4.0,Jaedong,1st,sOs,1.0,1.0,100000.0
265,2013-06-09,2013 WCS Season 1,0.0,INnoVation,2nd,sOs,0.0,4.0,20000.0
266,2013-05-23,2013 WCS Season 1 Korea GSL: Code S,2.0,INnoVation,3 - 4th,sOs,0.0,4.0,7000.0
267,2018-09-30,2018 AfreecaTV GSL Super Tournament 2,2.0,sOs,3 - 4th,Solar,0.0,3.0,2221.0
268,2017-11-12,HomeStory Cup XVI,1.0,Zest,2nd,Solar,0.0,4.0,4000.0
269,2017-06-10,2017 StarCraft II StarLeague Season 1: Premier,1.0,INnoVation,2nd,Solar,0.0,4.0,8945.0
270,2017-04-09,2017 AfreecaTV GSL Super Tournament 1,2.0,aLive,3 - 4th,Solar,0.0,3.0,2250.0
271,2016-09-25,2016 WCS Korea Season 2 Cross Finals,2.0,Dark,2nd,Solar,0.0,3.0,4290.0
272,2016-09-11,2016 StarCraft II StarLeague Season 2/Main Event,4.0,Dark,1st,Solar,1.0,3.0,35850.0
273,2016-03-31,2016 StarCraft II StarLeague Season 1/Main Event,3.0,Stats,3rd,Solar,0.0,4.0,7614.0
274,2015-11-28,DreamHack ROCCAT LotV Championship,4.0,PartinG,1st,Solar,1.0,3.0,20000.0
275,2015-09-25,2015 DreamHack Open: Stockholm,3.0,HyuN,1st,Solar,1.0,1.0,10000.0
276,2015-08-31,MSI Masters Gaming Arena 2015,0.0,sOs,2nd,Solar,0.0,3.0,4000.0
277,2014-11-02,MSI Beat IT 2014,4.0,PartinG,1st,Solar,1.0,3.0,10000.0
278,2014-09-27,2014 DreamHack Open: Stockholm,3.0,soO,1st,Solar,1.0,0.0,10000.0
279,2014-07-20,IEM Season IX - Shenzhen,3.0,TaeJa,2nd,Solar,0.0,4.0,4000.0
280,2018-03-21,2018 Global StarCraft II League Season 1/Code S,3.0,Stats,3 - 4th,soO,0.0,4.0,7034.0
281,2017-11-04,2017 WCS Global Finals,2.0,Rogue,2nd,soO,0.0,4.0,140000.0
282,2017-09-18,2017 StarCraft II StarLeague Season 2 - Challenge,4.0,None,1st,soO,1.0,1.0,1770.0
283,2017-08-05,2017 GSL vs the World,1.0,TY,3 - 4th,soO,0.0,3.0,6700.0
284,2017-06-24,2017 Global StarCraft II League Season 2/Code S,2.0,GuMiho,2nd,soO,0.0,4.0,13430.0
285,2017-03-25,2017 Global StarCraft II League Season 1/Code S,2.0,Stats,2nd,soO,0.0,4.0,13440.0
286,2015-08-09,IEM Season X - gamescom,1.0,INnoVation,2nd,soO,0.0,4.0,4000.0
287,2015-07-12,LOTTE Homeshopping 2015 KeSPA Cup Season 2,4.0,Dark,1st,soO,1.0,1.0,8938.0
288,2014-10-04,2014 Global StarCraft II League Season 3: Code S,2.0,INnoVation,2nd,soO,0.0,4.0,14274.0
289,2014-09-27,2014 DreamHack Open: Stockholm,0.0,Solar,2nd,soO,0.0,3.0,5000.0
290,2014-06-28,2014 Global StarCraft II League Season 2/Code S,2.0,Classic,2nd,soO,0.0,4.0,14795.0
291,2014-04-26,2014 GSL Global Championship,2.0,Zest,3 - 4th,soO,0.0,3.0,1850.0
292,2014-04-05,2014 Global StarCraft II League Season 1/Code S,3.0,Zest,2nd,soO,0.0,4.0,14226.0
293,2013-10-19,2013 WCS Season 3 Korea GSL/Premier,2.0,Dear,2nd,soO,0.0,4.0,12000.0
294,2016-12-12,World Cyber Arena 2016 Global Finals,1.0,ByuN,2nd,Patience,0.0,3.0,14540.0
295,2016-11-20,HomeStory Cup XIV,4.0,Zest,1st,Patience,1.0,3.0,10000.0
296,2016-09-01,2016 StarCraft II StarLeague Season 2/Main Event,1.0,Solar,3 - 4th,Patience,0.0,4.0,8066.0
297,2016-03-17,2016 StarCraft II StarLeague Season 1/Main Event,0.0,Stats,4th,Patience,0.0,4.0,7614.0
298,2015-07-17,2015 DreamHack Open: Valencia,2.0,Curious,3 - 4th,Patience,0.0,3.0,3000.0
299,2013-11-30,2013 DreamHack Open: Winter,1.0,Life,3rd,Patience,0.0,3.0,9146.0
300,2017-09-18,2017 StarCraft II StarLeague Season 2 - Challenge,3.0,None,3rd,ByuN,1.0,2.0,1858.0
301,2017-07-30,IEM Season XII - Shanghai,1.0,Rogue,3 - 4th,ByuN,0.0,3.0,2000.0
302,2017-06-03,2017 StarCraft II StarLeague Season 1 - Challenge,3.0,None,4th,ByuN,1.0,2.0,1675.0
303,2016-12-12,World Cyber Arena 2016 Global Finals,3.0,Patience,1st,ByuN,1.0,1.0,21800.0
304,2016-11-05,2016 WCS Global Playoffs and Finals,4.0,Dark,1st,ByuN,1.0,2.0,200000.0
305,2016-09-25,2016 WCS Korea Season 2 Cross Finals,2.0,Dark,3 - 4th,ByuN,0.0,3.0,0.0
306,2016-09-10,2016 Global StarCraft II League Season 2/Code S,4.0,sOs,1st,ByuN,1.0,1.0,36189.0
307,2012-07-19,2012 Global StarCraft II League Season 3: Code S,2.0,Seed,3 - 4th,ByuN,0.0,3.0,4392.0
308,2011-07-25,2011 Global StarCraft II League July: Code S,0.0,LosirA,3 - 4th,ByuN,0.0,3.0,4500.0
309,2011-01-21,2011 Sony Ericsson Global StarCraft II League January: Code A,3.0,TOP,2nd,ByuN,0.0,4.0,896.0
310,2018-09-08,2018 Global StarCraft II League Season 3/Code S,2.0,TY,3 - 4th,Neeb,0.0,4.0,7035.0
311,2018-01-28,2018 WCS Leipzig,2.0,ShoWTimE,3 - 4th,Neeb,0.0,3.0,6500.0
312,2017-09-10,2017 WCS Montreal,4.0,Snute,1st,Neeb,1.0,0.0,25000.0
313,2017-06-19,2017 WCS Jönköping,4.0,Serral,1st,Neeb,1.0,3.0,25000.0
314,2017-04-30,2017 WCS Austin,4.0,Nerchio,1st,Neeb,1.0,2.0,25000.0
315,2017-01-15,World Electronic Sports Games 2016,3.0,ShoWTimE,3rd,Neeb,1.0,1.0,50000.0
316,2016-10-03,2016 KeSPA Cup,4.0,Trap,1st,Neeb,1.0,0.0,18100.0
