,alternate_ids,birth,country,imageURL,name,nicknames,pageURL,player,race,romanized_name,team,total_earnings,wcs_korea_points,wcs_korea_rank,retired,sponsor,wcs_circuit_points,wcs_circuit_rank,clan
72,"['Alone', 'FeelsBadMan']",1992-04-15,South Korea,https://liquipedia.net/commons/images/thumb/f/f9/TRUE_2016-05-27_GSL_Code_A_winner_interview.jpg/600px-TRUE_2016-05-27_GSL_Code_A_winner_interview.jpg,방태수,"['SnackZerg', 'TRUEBang(뜨루방)']",https://liquipedia.net/starcraft2/TRUE,TRUE,Zerg,Bang Tae-soo,PSISTORM Gaming,178248.0,,,,,1630.0,15,
73,"['NeeL', 'KDH', 'TSL.Symbol']",1992-01-02,South Korea,https://liquipedia.net/commons/images/thumb/1/16/Symbol_2016VSLTeamLeague.jpg/600px-Symbol_2016VSLTeamLeague.jpg,강동현,,https://liquipedia.net/starcraft2/Symbol,Symbol,Zerg,Kang Dong-hyun,,98537.0,,,,,,,
74,"['PkDOz', 'OzOz', 'Twilight', 'SeCret', 'HakSoo.FXOz', 'Endless', 'Drug', 'Reborn[1]']",1989-04-23,South Korea,https://liquipedia.net/commons/images/thumb/1/13/Oz_2014_WCS_America_Season_1.jpg/600px-Oz_2014_WCS_America_Season_1.jpg,김학수,,https://liquipedia.net/starcraft2/Oz,Oz,Protoss,Kim Hak-soo,,72428.0,,,,,,,
75,"['RorO', 'rOrO', 'NsP_RorO']",1991-01-19,South Korea,https://liquipedia.net/commons/images/3/39/RorOGOMTV.jpg,신노열,,https://liquipedia.net/starcraft2/RorO,RorO,Zerg,Shin No-yeol,,76610.0,,,,,,,
76,"['LoveRip', 'finale']",1995-01-27,South Korea,https://liquipedia.net/commons/images/thumb/b/b5/Duckdeok_wcs13_s2.jpg/600px-Duckdeok_wcs13_s2.jpg,김경덕,,https://liquipedia.net/starcraft2/duckdeok,duckdeok,Protoss,Kim Kyeong-deok,,59192.0,,,,,,,
77,"['TSL.Posh', 'RevivaL[ScM]', 'TSL_Pretty', 'Posh', 'TSLRevival', 'ExcuseMe']",1992-01-31,South Korea,https://liquipedia.net/commons/images/thumb/5/51/CMStorm_Revival_IEM_SanJose.jpg/600px-CMStorm_Revival_IEM_SanJose.jpg,김동현,,https://liquipedia.net/starcraft2/Revival,Revival,Zerg,Kim Dong-hyun,,64895.0,,,,,,,
78,,1992-12-25,South Korea,https://liquipedia.net/commons/images/thumb/4/41/Last-SFMLG20130316-225222.jpg/600px-Last-SFMLG20130316-225222.jpg,김성현,,https://liquipedia.net/starcraft2/Last,Last,Terran,Kim Sung-hyun,,17319.0,,,,,,,
79,"['ret', 'LiquidRet', 'RetJah']",1985-11-03,Netherlands,https://liquipedia.net/commons/images/thumb/7/77/Ret-SFMLG20130315-203338.jpg/600px-Ret-SFMLG20130315-203338.jpg,Joseph de Kroon,,https://liquipedia.net/starcraft2/Ret,Ret,Zerg,,Team QLASH,75333.0,,,,,,,
80,"['GoldenLighT', 'SlayerSGolden', 'GoldenfOu', 'flutter']",1994-07-19,South Korea,https://liquipedia.net/commons/images/a/a9/Golden2.jpg,조명환,,https://liquipedia.net/starcraft2/Golden,Golden,Zerg,Jo Myeong-hwan,Team RevolutioN,39993.0,,,,ZOTAC,,,
81,"['EGPuMa', 'by.funny', 'By.PuMa', 'Gentleman']",1991-07-23,South Korea,https://liquipedia.net/commons/images/thumb/0/03/Puma-20120824.JPG/600px-Puma-20120824.JPG,이호준,,https://liquipedia.net/starcraft2/PuMa,PuMa,Terran,Lee Ho-joon,,143886.0,,,,,,,
82,"['ProS.Sound', 'SoundWeRRa']",1993-12-24,South Korea,https://liquipedia.net/commons/images/9/98/SoundTIG.jpg,배상환,,https://liquipedia.net/starcraft2/Sound,Sound,Terran,Bae Sang-hwan,,11768.0,,,,,,,
83,"['GosuHuk', 'Liquid`HuK', 'EG.HuK', 'Sad', 'Depression', 'Aiur', 'ScareCrow']",1989-05-10,Canada United States,https://liquipedia.net/commons/images/thumb/5/5c/HuK-SF20120825-210332.jpg/600px-HuK-SF20120825-210332.jpg,Chris Loranger,,https://liquipedia.net/starcraft2/HuK,HuK,Protoss,,,150475.0,,,,,,,
84,"['July', 'JulyZerg', 'July[z-zone]', 'Fanta', 'VealSteak', 'ST_July', 'PizzaZerg']",1986-12-18,South Korea,https://liquipedia.net/commons/images/thumb/c/c3/July_IPL4.jpg/600px-July_IPL4.jpg,박성준,,https://liquipedia.net/starcraft2/July,July,Zerg,Park Sung-joon,,49672.0,,,,,,,
86,"['KT.MGW_Strict', 'Link[3.33]', 'Link', 'Maynard']",1990-11-16,South Korea,https://liquipedia.net/commons/images/thumb/c/c3/HeartAxiomPress.jpg/600px-HeartAxiomPress.jpg,김민혁,,https://liquipedia.net/starcraft2/Heart,Heart,Terran,Kim Min-hyuk,,66808.0,,,,,,,
87,"['Neo.G_Haruhi', 'HS', 'Neo.G_Pigbaby']",1992-12-14,South Korea,https://liquipedia.net/commons/images/0/03/Pigbaby_2014_WCS_AM_S2.jpg,양희수,,https://liquipedia.net/starcraft2/Pigbaby,Pigbaby,Protoss,Yang Hee-soo,,42687.0,,,,,,,
88,"['TheLittleOne', 'Liquid`TLO', 'GameOfDrones', 'DoctorDario']",1990-07-13,Germany,https://liquipedia.net/commons/images/thumb/2/27/TLO_WCS_2015_Season1.jpg/600px-TLO_WCS_2015_Season1.jpg,Dario Wünsch,,https://liquipedia.net/starcraft2/TLO,TLO,Zerg,,Team Liquid,100471.0,,,,,400.0,42,
89,Killer.MvP,1995-01-22,South Korea,https://liquipedia.net/commons/images/thumb/d/d1/2012_IPL5_Sniper.jpg/600px-2012_IPL5_Sniper.jpg,권태훈,Lady killer,https://liquipedia.net/starcraft2/Sniper,Sniper,Zerg,Kwon Tae-hoon,,69335.0,,,2014-10-19,,,,
90,"['MǂStephano', 'MillStephano', 'DreAm', 'Sat', 'Nhy']",1993-03-12,France Tunisia,https://liquipedia.net/commons/images/c/cb/Stephano_WCS_S1_2015.jpg,Ilyes Satouri,,https://liquipedia.net/starcraft2/Stephano,Stephano,Zerg,,GamersOrigin,293263.0,,,,,680.0,26,
91,"['FnaticRC_Moon', 'FOXMoon', 'Liberty', 'Moon', 'mouz.Moon', 'MYM.Moon', 'Spirit.Moon']",1986-12-14,South Korea,https://liquipedia.net/commons/images/f/fa/MoonGOMTV.jpg,장재호,,https://liquipedia.net/starcraft2/Moon,Moon,Zerg,Jang Jae-ho,,28023.0,,,,,,,
92,,1990-04-27,France,https://liquipedia.net/commons/images/thumb/6/65/FireCake_WCS_S1_2015.jpg/600px-FireCake_WCS_S1_2015.jpg,Sébastien Lebbe,,https://liquipedia.net/starcraft2/FireCake,FireCake,Zerg,,Team RevolutioN,52896.0,,,,,,,
93,"['NsPjjakji', 'Paired', 'JJAKJI']",1994-02-16,South Korea,https://liquipedia.net/commons/images/8/8d/Jjakji_dh_bucharest_14.jpg,정지훈,,https://liquipedia.net/starcraft2/jjakji,jjakji,Terran,Jung Ji-hoon,,135177.0,0.0,,2018-06-02,,,,
94,"['ST_Squirtle', 'ST_BoogieBoy']",1992-07-06,South Korea,https://liquipedia.net/commons/images/thumb/9/96/Squirtle_IPL4.jpg/600px-Squirtle_IPL4.jpg,박현우,,https://liquipedia.net/starcraft2/Squirtle,Squirtle,Protoss,Park Hyun-woo,,92726.0,,,2014-12-01,,,,
95,"['MǂFeast', 'aAaFeast', 'SypherFeast', 'OogieBoogie']",1993-06-14,Belgium,https://liquipedia.net/commons/images/thumb/f/f3/Feast_hsc6.jpg/600px-Feast_hsc6.jpg,Jérémy Vansnick,,https://liquipedia.net/starcraft2/Feast,Feast,Protoss,,,13366.0,,,,,,,
96,"['mTw.DIMAGA', 'RoX.KIS.DIMAGA', 'St)DIMAGA', 'aFz.DIMAGA', 'NgS.DIMAGA']",1986-06-03,Ukraine,https://liquipedia.net/commons/images/9/96/Dimaga-HSC4.jpg,Dmytro Filipchuk,,https://liquipedia.net/starcraft2/DIMAGA,DIMAGA,Zerg,,Team Blacer,72021.0,,,,,,,
97,"['LuckyfOu', 'KT.MGW)Lucky', 'NsP_Lucky']",1991-12-02,South Korea,https://liquipedia.net/commons/images/e/e4/LuckyGOMTV.jpg,이인수,,https://liquipedia.net/starcraft2/Lucky,Lucky,Zerg,Lee In-soo,,26189.0,,,true,,,,
98,,1994-07-28,Netherlands,https://liquipedia.net/commons/images/d/da/Harstem_DH_Tours_2015.jpg,Kevin de Koning,"['LipToss', 'FlamingLips']",https://liquipedia.net/starcraft2/Harstem,Harstem,Protoss,,Asterion,93375.0,,,,,795.0,23,
99,"['EG.ThorZaIN', 'mouz.ThorZaIN', 'Prae.ThorZaIN', 'Yakero', 'TFunk']",1991-02-09,Sweden,https://liquipedia.net/commons/images/thumb/d/da/ThorZaIN-SFMLG20130316-162121.jpg/600px-ThorZaIN-SFMLG20130316-162121.jpg,Marcus Sebastian Eklöf,"['TheSpoonTerran', 'TheKingintheNorth']",https://liquipedia.net/starcraft2/ThorZaIN,ThorZaIN,Terran,,,102927.0,,,,,,,
100,KiWiKaKi,1989-04-06,Canada,https://liquipedia.net/commons/images/thumb/1/1e/Rgnkiwikakimlg.png/600px-Rgnkiwikakimlg.png,Jonathan Garneau,,https://liquipedia.net/starcraft2/KiWiKaKi,KiWiKaKi,Protoss,,,11835.0,,,,,,,
101,"['EmpireviOLet', 'CSNTC', 'Fatandlazy']",1990-12-05,South Korea,https://liquipedia.net/commons/images/thumb/2/2c/VioletProfile-20.JPG/600px-VioletProfile-20.JPG,김동환,,https://liquipedia.net/starcraft2/viOLet,viOLet,Zerg,Kim Dong-hwan,Team EnVyUs,185247.0,,,,,,,
102,SuzyWeRRa,1993-05-30,South Korea,https://liquipedia.net/commons/images/thumb/9/9d/TassadarGSTL.jpg/600px-TassadarGSTL.jpg,김정훈,,https://liquipedia.net/starcraft2/Tassadar,Tassadar,Protoss,Kim Jung-hoon,,7063.0,,,,,,,
103,"['Nv.L', 'nevermore', 'Clemence', 'ChampioNSoO']",1987-01-14,China,https://liquipedia.net/commons/images/b/b0/XiGua_WCS_2015_Season1.jpg,王磊,"['瓜宗', 'KingofLotV(Self-proclaimed)']",https://liquipedia.net/starcraft2/XiGua,XiGua,Zerg,Wang Lei,Invictus Gaming,137930.0,,,,,150.0,68,
104,LingKing,1997-12-11,Poland,https://liquipedia.net/commons/images/thumb/e/e4/Elazer_at_World_Electronic_Sports_Games_2017.jpg/600px-Elazer_at_World_Electronic_Sports_Games_2017.jpg,Mikołaj Ogonowski,,https://liquipedia.net/starcraft2/Elazer,Elazer,Zerg,,AGO Esports,207050.0,0.0,,,,1950.0,11,
105,"['BLASTǂMlorD', 'BsCǂMarinLord', 'BsCǂAlexisOrg']",1995-06-01,France,https://liquipedia.net/commons/images/5/50/OG_MLorD.png,Alexis Eusebio,,https://liquipedia.net/starcraft2/MarineLorD,MarineLorD,Terran,,O'Gaming TV,64060.0,,,,,,,
106,"['Speed', 'Speed[KaL]', 'Cure']",1994-11-25,South Korea,https://liquipedia.net/commons/images/thumb/8/87/Cure_RedBullWashington.jpg/600px-Cure_RedBullWashington.jpg,김도욱,,https://liquipedia.net/starcraft2/Cure,Cure,Terran,Kim Doh-wook,Jin Air Green Wings,70097.0,0.0,,,,,,
107,"['SortOf', 'PuppetMaster']",1993-07-24,Sweden,https://liquipedia.net/commons/images/a/af/SortOf_Meliora_Esports.jpg,Rickard Bergman,,https://liquipedia.net/starcraft2/SortOf,SortOf,Zerg,,Cascade,73562.0,0.0,,,,330.0,47,
108,"['Socke', 'Sockeh', 'ALTERNATEaTTaX']",1987-02-02,Germany,https://liquipedia.net/commons/images/thumb/e/e2/Socke_iem8_cologne.jpg/600px-Socke_iem8_cologne.jpg,Giacomo Thüs,,https://liquipedia.net/starcraft2/Socke,Socke,Protoss,,,71224.0,,,,,,,
109,"['IanStorM', 'yoeIMIan', 'yoeFWIan', 'Achilles']",1990-08-31,Taiwan,https://liquipedia.net/commons/images/thumb/4/48/20131207Ian.jpeg/600px-20131207Ian.jpeg,呂家宏,,https://liquipedia.net/starcraft2/Ian,Ian,Zerg,Lu Chia Hung,,23267.0,,,,,0.0,,
110,,1995-06-27,France,https://liquipedia.net/commons/images/7/71/Lilbow_DH_Tours_2015.jpg,David Moschetto,,https://liquipedia.net/starcraft2/Lilbow,Lilbow,Protoss,,,91173.0,,,2016-07-15,,,,
