doubanID,imdbID,doubanURL,imdbURL,movieTitle,year,directorName,directorID,category,releaseDate,duration,relatedMovieIDs,doubanTotalVotes,imdbTotalVotes,doubanScore,imdbScore,douban-1star,douban-2star,douban-3star,douban-4star,douban-5star,imdb-1star,imdb-2star,imdb-3star,imdb-4star,imdb-5star,imdb-6star,imdb-7star,imdb-8star,imdb-9star,imdb-10star
26826398,tt7245176,https://movie.douban.com/subject/26826398,http://www.imdb.com/title/tt7245176,杀破狼·贪狼 殺破狼‧貪狼,2017,叶伟信,/celebrity/1274472/,"['剧情', '动作']","['2017-08-17(中国大陆)', '2017-08-25(香港)']",101分钟,"['23788440', '25815034', '25723583', '26425068', '10763164', '26260853', '26748673', '10344754', '20505982', '10727641']",119554,2327,7.066012011308698,6.819080360979803,1196,7532,49256,48898,12553,72,19,24,76,199,528,712,320,95,282
30179916,tt7201846,https://movie.douban.com/subject/30179916,http://www.imdb.com/title/tt7201846,埃德蒙 Edmond,2018,亚力克西斯·马沙利克,/celebrity/1357801/,"['剧情', '喜剧']",['2019-01-09(法国)'],110分钟,"['26937840', '27139348', '27135967', '27591708', '27604232', '26779286', '27149755', '26737916', '30335799', '27125208']",72,391,8.444444444444445,7.562659846547315,0,0,10,36,26,7,3,3,7,16,39,90,114,69,43
1301530,tt0090060,https://movie.douban.com/subject/1301530,http://www.imdb.com/title/tt0090060,七个毕业生 St. Elmo's Fire,1985,乔·舒马赫,/celebrity/1049637/,"['剧情', '爱情']",['1985-06-28'],110 分钟,"['1297376', '1295728', '1300813', '1294720', '1293650', '1304868', '1297373', '1292959', '1300106', '1298081']",740,32375,7.632432432432433,6.549343629343629,6,27,217,342,149,570,506,944,1861,3990,7790,7678,4364,1891,2781
1295737,tt0086984,https://movie.douban.com/subject/1295737,http://www.imdb.com/title/tt0086984,粉红色杀人夜 Body Double,1984,布莱恩·德·帕尔玛,/celebrity/1012516/,"['剧情', '悬疑', '惊悚', '犯罪']",['1984-10-26(美国)'],114 分钟,"['1299967', '1299027', '1293568', '1302727', '1293789', '2368790', '1302234', '1947272', '1294218', '2258674']",1604,25013,7.0785536159601,6.786710910326631,21,98,640,685,160,422,348,598,1145,2299,4704,7019,4741,1886,1851
25904431,tt2345613,https://movie.douban.com/subject/25904431,http://www.imdb.com/title/tt2345613,鬼精灵：起源 Leprechaun: Origins,2014,Zach Lipovsky,/subject_search?search_text=Zach%20Lipovsky,['恐怖'],['2014-08-26(美国)'],90分钟,"['3569934', '25856947', '20280040', '25943245', '26358819', '24877508', '6795529', '10604556', '10760044', '10577609']",556,4320,3.6007194244604315,3.5023148148148144,238,210,94,4,9,1024,728,740,636,478,273,129,63,39,210
23697931,tt2569088,https://movie.douban.com/subject/23697931,http://www.imdb.com/title/tt2569088,侠探西蒙 The Saint,2016,厄尼·巴巴拉什,/celebrity/1319334/,"['动作', '犯罪', '冒险']",['2017-07-11(美国)'],126分钟,"['27035521', '26904124', '26898064', '26888901', '26320782', '26743260', '6529890', '26981261', '30164451', '27007252']",485,4170,4.729896907216494,5.040767386091128,89,184,164,42,6,310,283,372,643,882,712,445,244,83,196
1293010,tt0118661,https://movie.douban.com/subject/1293010,http://www.imdb.com/title/tt0118661,复仇者 The Avengers,1998,耶利米·S·谢奇克,/celebrity/1274504/,"['动作', '惊悚', '冒险']",['1998-08-13'],89分钟,"['1299610', '1294121', '1293196', '1301721', '1293132', '1294871', '1298111', '1296795', '1299210', '1293932']",1065,38584,5.573708920187794,3.8580240514202777,67,285,564,101,47,6279,5415,6639,6812,5478,3521,1979,989,417,1055
2368790,tt0163114,https://movie.douban.com/subject/2368790,http://www.imdb.com/title/tt0163114,摩登女郎谋杀案 Murder à la Mod,1968,布莱恩·德·帕尔玛,/celebrity/1012516/,"['喜剧', '悬疑', '惊悚', '犯罪']",['1968-05-01'],80 分钟,"['1302727', '1296356', '3011764', '1441973', '1303685', '2345021', '1293789', '1294764', '1295737', '2348223']",85,609,6.541176470588236,5.735632183908047,1,16,37,21,10,20,16,44,60,113,165,97,46,13,35
1293980,tt0048254,https://movie.douban.com/subject/1293980,http://www.imdb.com/title/tt0048254,杀手之吻 Killer's Kiss,1955,斯坦利·库布里克,/celebrity/1054533/,"['剧情', '惊悚', '犯罪', '黑色电影']",['1955-10-01'],67 分钟,"['1293936', '2382777', '1438613', '1303559', '1755448', '1464169', '1438410', '1305032', '1401588', '1300966']",2325,18859,7.09505376344086,6.741926931438571,12,86,1053,965,209,138,154,246,626,1754,4728,6308,3045,796,1064
1509868,tt0397078,https://movie.douban.com/subject/1509868,http://www.imdb.com/title/tt0397078,倒霉爱神 Just My Luck,2006,唐纳德·佩特瑞,/celebrity/1000563/,"['喜剧', '爱情', '奇幻']",['2006-05-12'],USA: 103 分钟,"['1307955', '2132120', '1308753', '2054026', '1929497', '3011102', '1914652', '1466897', '1308764', '1419939']",48373,50434,6.782213218117545,5.646845382083515,339,3096,26025,15383,3580,2374,1910,3202,5880,10502,10942,6798,3536,1463,3827
